idx	tok	arabish	pos	analysis
37733	في+ال#جزيرة	fel#jezira	PREP+DET#NOUN-NSUFF_FEM_PL	_no
37750	ال+تريلية	etrilya	DET+NOUN-NSUFF_FEM_SG	_yes
37765	ال+نوم	ennawm	DET+NOUN	_yes
37788	ال+نهار	Enhar	DET+NOUN	_yes
37867	ال+نظر	ennadhar	DET+NOUN	_yes
37872	ال+ديانة	eddiyena	DET+NOUN-NSUFF_FEM_SG	_yes
37902	ال+سلايط	esslayet	DET+NOUN	_yes
37987	ب+ال+ضابط	bedhabt	[PREP+DET+NOUN]ADV	_yes
38067	ال+صلاة	esslet	DET+NOUN-NSUFF_FEM_SG	_yes
38081	ال+شمع	echma3	DET+NOUN	_yes
38135	ال+ناس	ennes	DET+NOUN	_yes
38498	ل+ال#لود	lel#loud	PREP+DET#NOUN	_no
38580	ال+شباب	chebeb	DET+NOUN	_abs
38600	ال+شباب	chebeb	DET+NOUN	_abs
38656	ال+دنيا	eddenya	DET+NOUN	_yes
38707	ل+ال#شرفيّة	lel#charfeyya	PREP+DET#NOUN-NSUFF_FEM_SG	_no
38800	في+ال#رمل	fel#rmaa	PREP+DET#NOUN	_no
38814	ال+درينة	eddrina	DET+NOUN-NSUFF_FEM_SG	_yes
38831	ال+سوبية	Essoubya	DET+NOUN-NSUFF_FEM_SG	_yes
38844	ال#سوبية	l#soubya	DET#NOUN-NSUFF_FEM_SG	_no
38931	ال+سرحة	esr7a	DET+NOUN-NSUFF_FEM_SG	_yes
38990	ال+ربّ+ي	erabi	DET+NOUN+POSS_PRON_1S	_yes
39046	ال+شارع	echara3	DET+NOUN	_yes
39098	في+ال+ناس	finnes	PREP+DET+NOUN	_yes
39107	ال+شتا	echté	DET+NOUN	_yes
39116	ال#ذهب	el#dhhab	DET#NOUN	_no
39289	ال+تصويرة	ettaswira	DET+NOUN-NSUFF_FEM_SG	_yes
39294	في+ال+ناس	finnes	PREP+DET+NOUN	_yes
39303	ال+شتا	echté	DET+NOUN	_yes
39341	ب+ال+ضبط	bedhabt	[PREP+DET+NOUN]ADV	_yes
39348	ال+دنيا	Eddenya	DET+NOUN	_yes
39417	ال+لقطة	ella9ta	DET+NOUN-NSUFF_FEM_SG	_yes
39525	في+ال+ترتيب	fettartib	PREP+DET+NOUN	_yes
39559	ال+تصويرة	ettaswira	DET+NOUN-NSUFF_FEM_SG	_yes
39564	في+ال+ناس	finnes	PREP+DET+NOUN	_yes
39573	ال+شتا	echté	DET+NOUN	_yes
39595	ال+نجدة	ennajda	DET+NOUN-NSUFF_FEM_SG	_yes
39732	ال+نيك	enik	DET+NOUN	_yes
39770	ال+طوع	ettou3	DET+NOUN	_yes
39787	ال+دنيا	edenaya	DET+NOUN	_yes
39808	في+ال#ال+دورة	fil#edoura	PREP+DET#DET+NOUN-NSUFF_FEM_SG	_no
39809	ال+دورة	edoura	DET+NOUN-NSUFF_FEM_SG	_yes
39825	ال+دنيا	eddneya	DET+NOUN	_yes
39843	ال+نيك	enik	DET+NOUN	_yes
39898	ال+نفس	énafss	DET+NOUN	_yes
39909	ال+سحري#اواني	éssé7ri#éwéni	DET+ADJ#NOUN	_yes
39958	ال+ثيقة	ethi9a	DET+NOUN-NSUFF_FEM_SG	_yes
39959	و+ال+سارق	wssereg	CONJ+DET+NOUN	_yes
39962	ال+زارع	ezzera3	DET+NOUN	_yes
39963	و+ال+سّالك	wsselek	NOUN+DET+NOUN	_yes
40029	ل+ال+راجل	lerrajel	PREP+DET+NOUN	_yes
40187	في+ال+لون	fellawn	PREP+DET+NOUN	_yes
40254	و+ال+سرّق	wssereg	CONJ+DET+NOUN	_yes
40255	ال+زراع	zzera3	DET+NOUN	_yes
40256	و+ال+سلك	wsselek	CONJ+DET+NOUN	_yes
40285	ال+راس	erras	DET+NOUN	_yes
40541	ع+ال+دين	3adin	PREP+DET+NOUN	_yes
40602	ال+لعب	ele3b	DET+NOUN	_yes
40766	في+ال#راب+ي	fe#rapi	PREP+DET#NOUN+POSS_PRON_1S	_yes
40849	ال+ناس	nas	DET+NOUN	_abs
40905	ع+ال+صمعة	3asma3	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
41318	ال+ناس	nes	DET+NOUN	_abs
41338	و+ال+دعاية	wedi3aya	CONJ+DET+NOUN-NSUFF_FEM_SG	_yes
41377	ال+جعب	laj3eb	DET+NOUN	_yes
41378	ال+صرمان	ebsarman	DET+NOUN	_yes
41751	ها+ال#ظروف	hal#dhourouf	DEM_PRON+DET#NOUN	_no
41771	م+ال+شارع	melshera3	PREP+DET+NOUN	_no
41793	ال#دار	el#dar	DET#NOUN	_no
41872	م+ال+ستراس	mestress	PREP+DET+NOUN	_yes
41874	م+ال#لهفة	mel#lahfa	PREP+DET#NOUN-NSUFF_FEM_SG	_yes
41876	و+ال#لهفة	wel#lahfa	CONJ+DET#NOUN-NSUFF_FEM_SG	_yes
41984	ب+ال+صغيرة	besgira	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
41994	ال#شخصيات	el#shakhsiet	DET#NOUN-NSUFF_FEM_PL	_no
